time_ms,engineSpeed_rpm,vehicleSpeed_kph,throttlePosition_pct,tankLevel_pct,fuelRate_lph_equiv
69636,625.0,0,14.901960784313726,0.0,0.0
69649,662.5,0,14.901960784313726,0.0,0.0
69664,662.5,0,14.901960784313726,0.0,0.0
69679,662.5,0,14.901960784313726,0.0,0.0
69694,662.5,0,14.901960784313726,0.0,0.0
69709,662.5,0,14.901960784313726,0.0,0.0
69724,662.5,0,14.901960784313726,0.0,0.0
69739,664.0,0,14.901960784313726,0.0,0.0
69754,664.0,0,14.901960784313726,0.0,0.0
69769,664.0,0,14.901960784313726,0.0,0.0
69784,669.5,0,14.901960784313726,0.0,0.0
69799,669.5,0,14.901960784313726,0.0,0.0
69814,669.5,0,14.901960784313726,0.0,0.0
69829,671.0,0,14.901960784313726,0.0,0.0
69844,671.0,0,14.901960784313726,0.0,0.0
69859,671.0,0,14.901960784313726,0.0,0.0
69874,674.0,0,14.901960784313726,0.0,0.0
69889,674.0,0,14.901960784313726,0.0,0.0
69904,674.0,0,14.901960784313726,0.0,0.0
69919,670.25,0,14.901960784313726,0.0,0.0
69934,670.25,0,14.901960784313726,0.0,0.0
69949,670.25,0,14.901960784313726,0.0,0.0
69964,671.0,0,14.901960784313726,0.0,0.0
69979,671.0,0,14.901960784313726,0.0,0.0
69994,671.0,0,14.901960784313726,0.0,0.0
70009,667.75,0,14.901960784313726,0.0,0.0
70024,667.75,0,14.901960784313726,0.0,0.0
70039,667.75,0,14.901960784313726,0.0,0.0
70054,667.75,0,14.901960784313726,0.0,0.0
70069,667.75,0,14.901960784313726,0.0,0.0
70084,670.25,0,14.901960784313726,0.0,0.0
70099,670.25,0,14.901960784313726,0.0,0.0
70114,670.25,0,14.901960784313726,0.0,0.0
70129,671.75,0,14.901960784313726,0.0,0.0
70144,672.5,0,14.901960784313726,0.0,0.0
70159,672.5,0,14.901960784313726,0.0,0.0
70174,671.0,0,14.901960784313726,0.0,0.0
70189,671.0,0,14.901960784313726,0.0,0.0
70204,671.75,0,14.901960784313726,0.0,0.0
70219,671.75,0,14.901960784313726,0.0,0.0
70234,669.5,0,14.901960784313726,0.0,0.0
70249,669.5,0,14.901960784313726,0.0,0.0
70264,669.5,0,14.901960784313726,0.0,0.0
